rank,tier,tic,ra,dec,tmag,teff,logg,rad,rad_err,mass,rho,lumclass,contratio,gaia_dr2,n_sectors,sectors,pred_cdpp_1h_ppm,pred_rmin_p1_rearth,pred_rmin_p5_rearth,pred_rmin_p10_rearth,reason
2588,1,159584614,207.756745259535,62.6914734907268,13.4337,3208.0,4.93693,0.289997,0.00868359,0.265246,10.876,DWARF,0.00351221533,1664725583013974144,7,15 16 21 22 41 48 49,2629,1.52,2.0,2.25,"late M dwarf, R 0.29 R_sun, Teff 3208 K, Tmag 13.43; 7 TGLC sectors (S15-S49); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2589,1,141861496,206.856312349538,55.2345886135212,13.4968,3392.0,4.97715,0.256915,0.00765493,0.228383,13.4678,DWARF,0.000164829209,1562329164631418624,5,15 16 22 23 49,2730,1.51,2.0,2.25,"late M dwarf, R 0.26 R_sun, Teff 3392 K, Tmag 13.50; 5 TGLC sectors (S15-S49); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2590,1,238043609,103.957169816306,-49.3178783519508,13.542,3195.0,4.96535,0.266169,0.00801502,0.238558,12.6509,DWARF,0.003294318,5509040068228762496,6,6 7 8 33 34 35,2807,1.51,2.0,2.25,"late M dwarf, R 0.27 R_sun, Teff 3195 K, Tmag 13.54; 6 TGLC sectors (S6-S35); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2591,1,191536846,135.676389827732,-41.058869239451,13.5514,3329.0,5.03342,0.217894,0.0066104,0.187001,18.0762,DWARF,0.04155118,5428385495858715776,3,8 9 35,2824,1.52,2.0,2.26,"late M dwarf, R 0.22 R_sun, Teff 3329 K, Tmag 13.55; 3 TGLC sectors (S8-S35); contamination 0.04 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2592,1,137606318,145.34292957176,79.7185181828134,13.586,3376.0,4.96965,0.262752,0.00796522,0.234787,12.943,DWARF,0.0034909,1132428639385832064,6,14 20 26 40 47 53,2885,1.52,2.0,2.25,"late M dwarf, R 0.26 R_sun, Teff 3376 K, Tmag 13.59; 6 TGLC sectors (S14-S53); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2593,1,229512543,297.191558488046,62.1713452127254,13.6276,3400.0,4.86813,0.35597,0.0114992,0.341103,7.56215,DWARF,0.010376201,2240791301408581760,18,14 15 16 17 18 20 21 23 24 25 40 41 47 48 50 51 54 55,2963,1.52,2.0,2.26,"M dwarf, R 0.36 R_sun, Teff 3400 K, Tmag 13.63; 18 TGLC sectors (S14-S55); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2594,1,198355961,256.298301741748,55.2256993670711,13.6918,3498.0,4.89543,0.328529,0.00972404,0.309393,8.72548,DWARF,0.0125438161,1432207254883893888,15,16 17 19 20 23 24 25 26 40 47 49 50 51 52 53,3088,1.51,2.0,2.25,"M dwarf, R 0.33 R_sun, Teff 3498 K, Tmag 13.69; 15 TGLC sectors (S16-S53); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2595,1,287080171,243.42876206091,63.2983119389663,13.6938,3544.0,4.84698,0.37813,0.0113447,0.366598,6.78058,DWARF,0.0149400113,1629350686176578816,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,3092,1.52,2.0,2.26,"M dwarf, R 0.38 R_sun, Teff 3544 K, Tmag 13.69; 24 TGLC sectors (S14-S55); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2596,1,388200613,62.4829212237306,-79.3960861574683,13.7014,3441.0,4.93542,0.291324,0.00875475,0.266749,10.7888,DWARF,0.002090024,4625782277188203264,10,1 5 8 12 13 27 28 32 35 39,3108,1.51,2.0,2.25,"late M dwarf, R 0.29 R_sun, Teff 3441 K, Tmag 13.70; 10 TGLC sectors (S1-S39); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2597,1,150167319,93.5154480550182,-62.6309739137304,13.7043,3142.0,4.84199,0.383446,0.0116479,0.372678,6.6103,DWARF,0.0164772961,5478011575214611456,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,3114,1.51,2.0,2.25,"M dwarf, R 0.38 R_sun, Teff 3142 K, Tmag 13.70; 26 TGLC sectors (S1-S39); contamination 0.02 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
